Compound,G_sol,DeltaG_sol,volume,sol_dip,Lsolu_Hsolv,Lsolv_Hsolu,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,LogS
WWJZWCUNLNYYAU-UHFFFAOYSA-N,-38667.6686,1223.4182,485.52,13.7498,10.741,13.35,-4.2158,-1.35892,-1.4314,2.75671,-1.31248,466.4579,735.6398926,-6.24
WXMYDHQMJVPNTD-UHFFFAOYSA-N,-31479.4302,-395.0239,388.057,4.60939,11.534,13.212,-1.16634,-0.45042,-0.45443,0.42716,-2.40757,364.351,562.9440308,-4.376
WXTMDXOMEHJXQO-UHFFFAOYSA-N,-22143.8316,-103.5741,164.623,4.20702,11.83,14.228,-1.40588,0.06523,-0.41878,0.39849,-1.40588,154.122,307.4003906000001,-0.10902
WXZMFSXDPGVJKK-UHFFFAOYSA-N,-21722.1906,1787.8786,164.423,0.00444733,15.069,15.264,-1.58968,0.0117,-0.39753,0.24077,-1.58968,136.1474,304.3575439,-0.44
WXZVAROIGSFCFJ-UHFFFAOYSA-N,-28507.9828,448.4583,339.894,6.16239,11.935,13.211,-0.64152,-1.46949,-0.43596,0.33095,-0.97047,271.3584,515.2086791999999,-3.57
WYEHFWKAOXOVJD-UHFFFAOYSA-N,-32708.2762,512.2339,403.098,5.47816,11.68,13.754,-0.53642,-0.18786,-0.41238,0.4597600000000001,-1.80279,394.3001,620.1217041,-6.8970009999999995
WYKYKTKDBLFHCY-UHFFFAOYSA-N,-23863.8484,122.1407,232.399,7.5892,11.537,13.78,-0.4505,-0.5243399999999999,-0.4505,0.36046,-0.98639,221.6457,404.2071228,-2.80245
WYMSBXTXOHUIGT-UHFFFAOYSA-N,-29148.4128,133.4798,302.617,10.0484,10.977,15.140999999999998,-4.13588,-0.75272,-1.14595,2.65346,-0.89918,275.1975,504.1974182,-2.059
WZJZMXBKUWKXTQ-UHFFFAOYSA-N,-30059.3434,254.316,338.55800000000005,1.19523,12.133,13.863,-1.4337799999999998,-0.41694,-0.47713,0.42992,-2.03246,300.3134,570.8458862000001,-4.63
WZWYJBNHTWCXIM-JLHYYAGUSA-N,-30036.7281,-923.4943,337.781,5.69221,11.145,13.518,-2.50852,-1.53515,-0.95747,2.83556,-0.36948,337.3676,513.2810668999998,-3.7835099999999997
XADCESSVHJOZHK-UHFFFAOYSA-N,-27792.7277,120.7861,310.503,2.21632,12.624,13.982,-0.67606,-1.26888,-0.41505,0.33962,-0.96258,247.3364,477.76715089999993,-1.89
XBCXJKGHPABGSD-UHFFFAOYSA-N,-20375.8394,-246.6977,139.161,6.21577,12.339,14.241,-0.89815,0.45194,-0.45419,0.42259,-1.46279,126.1146,286.1728821000001,-0.8
XDLPWPNVUPKKSN-UHFFFAOYSA-N,-32054.4012,-1396.6844,373.272,10.5636,11.54,13.62,-1.15777,-0.67147,-0.4546,0.42744,-1.89777,331.3459,557.8894653,-5.405
XEFQLINVKFYRCS-UHFFFAOYSA-N,-27364.4213,-204.876,292.483,2.31377,11.886,14.018,-0.47447,-0.76623,-0.31943,0.27996,-0.5404,289.5451,461.0133667,-4.46
XEKOWRVHYACXOJ-UHFFFAOYSA-N,-19430.0455,77.0812,116.258,2.12596,13.553,16.08,-0.71882,-0.12147,-0.43374,0.33566,-0.71882,88.10600000000002,269.0452881,-0.04
XEROSHXMTSNDBW-UHFFFAOYSA-N,-26576.4064,689.5041,255.327,3.64082,11.512,13.883,-3.21349,-2.42817,-1.0084,2.85637,0.83696,267.3324,421.1669006,-1.57
XFOHWECQTFIEIX-UHFFFAOYSA-N,-24016.8016,62.2401,236.226,7.50617,11.025,13.973,-0.8064399999999999,-1.15984,-0.40384,0.58368,-0.22276,211.2196,402.3962402,-4.723
XGEGHDBEHXKFPX-UHFFFAOYSA-N,-18292.892,14.6688,92.1932,5.12525,14.51,14.543,-0.53169,0.37116,-0.53169,0.41966,-1.37619,74.0822,232.3136902,1.13
XIGAUIHYSDTJHW-UHFFFAOYSA-N,-30068.7856,115.6484,337.4890000000001,4.93617,11.771,13.797,-0.59464,-1.17658,-0.42585,0.40073,-0.7640899999999999,298.3588,542.1179199,-4.87
XITQUSLLOSKDTB-UHFFFAOYSA-N,-26629.6947,246.6947,288.831,3.62228,10.982,14.119000000000002,-0.96118,-0.8279200000000001,-0.398,0.58267,-0.41406,284.0982,462.31475830000005,-5.46
XIURVHNZVLADCM-IUODEOHRSA-N,-33101.071,804.1027,418.295,9.9012,11.841,13.902,-2.19823,-0.19722,-0.43192,0.38866,-2.4874400000000003,396.4322,621.1513672,-2.938
XJCVRTZCHMZPBD-UHFFFAOYSA-N,-21902.4289,-481.5784,152.94,7.99869,11.27,13.379,-0.80807,-0.5181899999999999,-0.41128,0.57998,-0.63937,138.1256,303.3388062,-2.19
XJGVXQDUIWGIRW-UHFFFAOYSA-N,-29022.6362,74.9385,370.747,2.10381,11.652,13.181,-0.18248,-1.0590000000000002,-0.33854,0.24112,-1.13325,327.8127,546.0799561000001,-4.419
XJKSTNDFUHDPQJ-UHFFFAOYSA-N,-24620.0923,534.5511,288.706,0.00225468,11.928,13.494000000000002,0.0,-2.05359,-0.13862,0.14981,0.0,230.3086,476.9698486,-7.109997999999999
XKEFYDZQGKAQCN-UHFFFAOYSA-N,-21562.3581,-433.262,175.988,0.00270387,12.019,14.63,0.0,-0.48466,-0.11393,0.17479,-0.03941,181.4487,316.5698242,-4.53587
XKFPYPQQHFEXRZ-UHFFFAOYSA-N,-25468.3009,-12.6464,272.42,3.39871,12.316,13.917,-0.39142,-1.00748,-0.43128,0.40313,-0.93048,231.2536,475.73867800000005,-2.46
XKJMBINCVNINCA-UHFFFAOYSA-N,-26328.7653,767.4171,259.896,6.41587,12.095,13.864,-0.6313,-0.1376,-0.46864,0.43909,-1.26126,249.0962,439.3476257,-3.5554300000000003
XLOMZPUITCYLMJ-UHFFFAOYSA-N,-27732.4389,149.9106,308.4120000000001,4.73779,11.048,14.137,-0.64372,-0.62454,-0.47011,0.33727,-1.6407,254.3464,474.4495544,-3.46
XMTQQYYKAHVGBJ-UHFFFAOYSA-N,-25049.9267,142.5711,246.212,6.83387,12.139,13.806,-0.49121,-0.12658,-0.49121,0.4264,-1.22156,233.0968,420.5604248,-3.8220099999999997
XNLICIUVMPYHGG-UHFFFAOYSA-N,-19048.9716,-26.4732,126.453,3.43536,13.336,15.182,-0.37339,-0.6089399999999999,-0.37339,0.26218,-0.37339,86.1334,282.2399292,-0.19
XQUXKZZNEFRCAW-UHFFFAOYSA-N,-33070.1245,39.842,438.091,3.07329,12.244000000000002,14.002,-0.8218700000000001,-1.87299,-0.39899,0.36444,-0.8997799999999999,349.4286,642.5148926,-6.03
XQXPVVBIMDBYFF-UHFFFAOYSA-N,-22006.1445,-26.0776,177.388,3.90055,12.483,14.148,-1.10858,-0.33637,-0.42877,0.35338,-1.10858,152.1494,333.0469055000001,-0.9442200000000001
XQZYPMVTSDWCCE-UHFFFAOYSA-N,-20223.0307,-5.2233,158.60299999999995,7.0472100000000015,11.572,14.808,0.0,-0.47969,-0.10766,0.1672,-0.18118,128.13299999999998,305.0411987,-2.38
XRECTZIEBJDKEO-UHFFFAOYSA-N,-19922.5111,-21.8273,130.703,9.66418,11.994000000000002,13.603,-0.47026,0.53746,-0.47026,0.37337,-1.57134,129.0935,270.69473270000003,-1.05193
XRHGWAGWAHHFLF-UHFFFAOYSA-N,-30477.543,252.8993,345.918,9.12273,10.591,15.411,-2.04865,-0.67682,-1.41969,2.76622,-1.06605,313.7384,556.0953979,-3.66
XRTJYEIMLZALBD-UHFFFAOYSA-N,-26210.3215,62.5613,277.719,2.65405,11.469,12.968,0.0,-1.54825,-0.40668,0.32199,-0.29885,240.3222,462.15377810000007,-3.68
XSKQKDTZQNFCCB-UHFFFAOYSA-N,-23125.3928,273.6999,197.634,4.77334,11.065,14.109000000000002,-1.63698,-0.08254,-0.40165,0.58635,-1.05063,197.147,355.0434875,-3.0639999999999996
XSQUKJJJFZCRTK-UHFFFAOYSA-N,-16396.1702,214.0216,70.2356,5.2804400000000005,14.57,15.014,-0.5416,0.42148,-0.5416,0.42148,-1.42005,60.0554,199.6749725,0.96
XTRDKALNCIHHNI-UHFFFAOYSA-N,-22385.7673,-5.683,185.938,5.77081,10.86,15.152,-1.55865,-0.55385,-0.3949,0.58612,-0.38656,182.1354,341.9424438000001,-3.0
XUCIJNAGGSZNQT-UHFFFAOYSA-N,-39694.8162,-842.6037,509.038,4.55318,12.5,14.532,-3.773,-0.19803,-0.40004,0.25173,-3.87796,457.4334,691.333374,-0.77
XUFQPHANEAPEMJ-UHFFFAOYSA-N,-32264.3832,50.9371,353.955,7.802739999999999,11.987,13.526,-2.03262,-0.34153,-1.0164,2.78897,-2.7075400000000003,337.4322,580.171875,-2.6468
XUYPXLNMDZIRQH-UHFFFAOYSA-N,-26109.3494,691.0829,231.733,4.08649,12.874,13.502,-1.2139,-0.22731,-0.46054,0.33521,-1.65078,191.2446,399.303833,0.032
XWKFPIODWVPXLX-UHFFFAOYSA-N,-19685.4768,39.9209,145.299,2.51952,12.509,14.244000000000002,0.0,-0.8322,-0.22612,0.17521,-0.22612,107.1548,299.4517822,0.4
XYGUXAGVJDBSBP-UHFFFAOYSA-N,-27636.3051,-244.9264,269.904,3.6007,11.96,14.665,-1.57334,0.26998,-0.46695,0.38202,-2.3441400000000003,236.2268,461.9148254,-1.4980000000000002
XZTUSOXSLKTKJQ-UHFFFAOYSA-N,-31471.6644,184.2521,450.269,7.48635,12.169,14.765,-1.41464,-2.16503,-0.39565,0.36594,-1.41464,374.5192,576.3969727000001,-4.574
YAPQBXQYLJRXSA-UHFFFAOYSA-N,-22723.6939,-160.7694,193.378,5.36228,12.166,13.85,-0.87423,0.5352,-0.45019,0.43593,-1.7613900000000002,180.1658,349.1856995,-2.58679
YASYVMFAVPKPKE-UHFFFAOYSA-N,-23707.1529,44.1473,198.414,5.07192,11.003,14.996,-2.27433,-0.09,-1.10285,2.63278,-1.25193,183.1617,369.03607180000006,0.54
YBPAYPRLUDCSEY-UHFFFAOYSA-N,-21952.4678,78.0782,181.35,6.43595,12.574000000000002,14.06,-0.80469,-0.39543,-0.46725,0.32948,-1.2207,151.1646,340.4301147,-2.3860099999999997
YCLSOMLVSHPPFV-UHFFFAOYSA-N,-25590.8864,109.2705,230.891,0.877085,10.464,14.074000000000002,-1.54676,-0.12908,-0.43381,0.35687,-1.5866,210.2626,410.6345215,-0.19
YCMLQMDWSXFTIF-UHFFFAOYSA-N,-22200.9984,364.0562,184.11900000000003,5.39042,11.718,14.392,-1.96563,-1.411,-0.98288,2.83571,-0.05159,171.2136,338.4365234,-2.02
YCSBALJAGZKWFF-UHFFFAOYSA-N,-23326.5818,-4.5797,233.772,2.58443,11.385,12.47,0.0,-1.40094,-0.41894,0.24105,-0.41894,193.2476,399.208313,-5.17
YEAICDDXRUOCKJ-UHFFFAOYSA-N,-25885.832,-56.8562,263.198,6.90405,11.629,13.422,-1.94347,-1.33455,-0.97635,2.83898,-0.64677,250.2746,438.167572,-3.7
YFBPRJGDJKVWAH-UHFFFAOYSA-N,-27663.9167,215.0834,272.107,3.1833400000000003,11.929,13.347,-0.7027100000000001,-0.79965,-0.48161,0.42086,-1.00155,225.305,457.8319397,-3.9210000000000003
YFGYUFNIOHWBOB-UHFFFAOYSA-N,-27875.353,610.7837,292.482,3.52445,12.438,13.352,-0.5985,0.14329,-0.42207,0.40869,-1.86467,238.2888,492.7565308,-1.95
YGLMVCVJLXREAK-UHFFFAOYSA-N,-25041.3273,237.2869,288.201,5.07673,14.066,14.081,-0.51054,-0.9671,-0.51054,0.42209,-1.27441,222.3296,460.130188,-3.01
YGYNBBAUIYTWBF-UHFFFAOYSA-N,-21793.1762,-15.5483,204.738,0.0579413,11.963,13.336,0.0,-1.42754,-0.18486,0.1493,0.0,156.2268,372.1121826,-4.89
YIKYNHJUKRTCJL-UHFFFAOYSA-N,-21128.9389,14.9206,161.40200000000004,4.61698,12.127,13.845,-0.80508,-0.36363,-0.42887,0.29141,-0.80508,140.1384,317.07739260000005,-0.8937799999999999
YJDYCULVYZDESB-UHFFFAOYSA-N,-26902.9718,74.616,353.225,3.55314,13.325,14.627,-0.33798,-2.30582,-0.33798,0.27317,-0.33798,274.4454,485.67507930000005,-6.7
YKGCCFHSXQHWIG-UHFFFAOYSA-N,-24589.8075,35.2768,272.173,5.43565,12.749,13.547,-0.35188,-1.33218,-0.37036,0.26845,-0.78501,225.3482,389.55575560000005,-3.716
YKJYKKNCCRKFSL-UHFFFAOYSA-N,-28485.8764,196.7086,321.63,2.4353,12.769,13.595,-1.29989,-0.80145,-0.4366100000000001,0.33164,-1.61027,265.3084,509.7983398,-1.61
YKYONYBAUNKHLG-UHFFFAOYSA-N,-21203.5534,420.979,137.506,2.1157,13.548,16.012999999999998,-0.7176899999999999,-0.28373000000000004,-0.43336,0.33581,-0.7176899999999999,102.1328,301.2148438,-0.72
YLQBMQCUIZJEEH-UHFFFAOYSA-N,-16141.0538,-10.1435,85.6062,0.413437,13.243,14.123,-0.08361,-0.6926800000000001,-0.23885,0.22059,-0.08361,68.075,214.0557251,-0.82
YMWUJEATGCHHMB-UHFFFAOYSA-N,-16442.7358,-6.431,82.5698,2.19881,12.772,16.048,0.0,-0.0592,-0.12865,0.15828,-0.25697,84.9328,201.4446259,-0.63
YNARWAUTTJJADX-UHFFFAOYSA-N,-26534.2597,899.7509,308.411,6.674739999999999,11.092,13.548,0.0,-0.5160600000000001,-0.5274399999999999,0.20196,-1.37625,270.3514,471.5574951,-4.63
YNAVUWVOSKDBBP-UHFFFAOYSA-N,-18169.8817,-47.8418,114.16,1.55256,15.147,14.026,-0.31976,-0.35878000000000004,-0.34261,0.17569,-0.66237,87.1212,252.3343048,1.06
YNBADRVTZLEFNH-UHFFFAOYSA-N,-21669.0924,-39.1762,160.43200000000004,0.4607560000000001,11.761,14.954,-0.6914100000000001,-0.09582,-0.41628,0.38346,-0.92116,137.1378,315.7475586,-0.46
YNDXUCZADRHECN-JNQJZLCISA-N,-33347.4722,460.5641,490.259,6.37631,11.921,14.654000000000002,-2.01666,-1.54234,-0.39134,0.31756,-2.1909400000000003,434.5037,593.7130737000001,-4.32
YNPNZTXNASCQKK-UHFFFAOYSA-N,-22291.0273,-42.8652,218.077,0.107703,11.775,13.355,0.0,-1.4808,-0.13579000000000002,0.15050999999999998,0.0,178.233,371.7520752,-5.258842
YNVOMSDITJMNET-UHFFFAOYSA-N,-20211.3214,-87.6183,138.201,3.06876,12.033,14.157,-0.77466,-0.5747,-0.43745,0.48669,-0.28797,128.1454,272.9131775,-1.47
YOJAHJGBFDPSDI-UHFFFAOYSA-N,-23589.6236,113.6608,196.368,5.68814,10.842,15.115,-1.46576,-0.1463,-0.40471,0.57895,-0.88681,181.1476,362.2937317,-3.035
YOYAIZYFCNQIRF-UHFFFAOYSA-N,-21438.8379,-81.0825,177.815,5.68078,11.605,14.644,0.0,-0.42723,-0.12246,0.17371,-0.09243,172.0134,315.5201416000001,-4.24
YRHRIQCWCFGUEQ-UHFFFAOYSA-N,-23609.2107,46.5259,235.678,3.2236,11.519,13.162,-0.3503,-1.24377,-0.3503,0.33461,-0.02128,212.2656,387.5991516,-5.54
YRHYCMZPEVDGFQ-UHFFFAOYSA-N,-26386.6209,-37.0392,267.843,1.94488,13.575,15.643,-0.71065,-1.25813,-0.42503,0.33333,-0.71065,186.2936,490.0866089,-4.63
YTBRNEUEFCNVHC-UHFFFAOYSA-N,-24661.7968,-122.3357,244.836,0.00421825,11.843,13.81,0.0,-1.18802,-0.12719,0.15957000000000002,-0.08194,223.1012,408.0617371,-6.56
