Compound,G_sol,DeltaG_sol,volume,sol_dip,Lsolu_Hsolv,Lsolv_Hsolu,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,LogS
ZMISODWVFHHWNR-UHFFFAOYSA-N,-27406.3162,-264.7305,333.525,3.03346,12.562,14.104,-0.36511,-1.93956,-0.36511,0.23338000000000006,-0.71436,267.37,484.0611877,-1.386
ZNNLBTZKUZBEKO-UHFFFAOYSA-N,-40500.7713,-1303.9119,549.275,9.22601,11.416,13.94,-3.05026,-1.84107,-0.96521,2.8444700000000003,-1.81938,494.0043,820.3442993,-5.09
ZNOLGFHPUIJIMJ-UHFFFAOYSA-N,-29968.6846,-324.4589,292.426,11.0762,10.591,14.874,-2.88302,-0.55404,-1.4257,2.75394,-0.97625,277.2313,474.7462769,-4.14976
ZNSSPLQZSUWFJT-UHFFFAOYSA-N,-26069.0355,3.5108,262.71,2.78823,11.859000000000002,14.461,-1.03186,-0.85587,-0.42336,0.38121,-1.03186,208.2566,465.2845154,-3.813
ZQUPQXINXTWCQR-UHFFFAOYSA-N,-29494.958,-147.5707,333.0630000000001,2.71694,11.482,14.312,0.0,-0.71907,-0.11485,0.18642,0.02322,360.8816,485.8082886,-7.659992
ZRKWMRDKSOPRRS-UHFFFAOYSA-N,-19518.3797,48.9381,112.564,1.91946,12.094,15.467,-0.8184899999999999,0.32927,-0.458,0.44572,-1.20531,103.0804,250.5993347,-0.85
ZRSNZINYAWTAHE-UHFFFAOYSA-N,-22308.6809,-270.8141,164.903,2.97255,11.994000000000002,13.95,-0.61287,-0.44487,-0.3752,0.26792,-0.61287,136.15,323.0278931000001,-1.49
ZRVUJXDFFKFLMG-UHFFFAOYSA-N,-29612.0922,-20.9134,356.936,3.03111,11.138,13.656,-2.52982,-1.44877,-0.95373,2.81581,-0.57634,351.3944,542.7979736000002,-2.99568
ZTMKADLOSYKWCA-UHFFFAOYSA-N,-25508.1608,-99.7782,277.194,5.4514,12.335,13.953,-0.8758600000000001,-0.57197,-0.43937,0.42579,-1.42297,234.2974,453.0004883,-4.59
ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,-17929.0301,-8.6423,105.855,3.26247,13.332,15.206,-0.37105,-0.38862,-0.37105,0.22666,-0.37105,72.1066,252.3025055,-0.01
ZWEHNKRNPOVVGH-UHFFFAOYSA-N,-17781.0406,-9.3311,104.457,3.41529,13.339,15.214,-0.37312,-0.44324,-0.37312,0.26195,-0.37312,72.1066,249.5191193,0.52
ZWUAUTPCFIIFAS-UHFFFAOYSA-N,-28087.4438,40.2898,337.13199999999995,2.18445,11.961,14.401,-1.0985200000000002,-0.89341,-0.43054,0.38115,-1.42423,263.3358,500.6204224,-3.341
ZXAGXLDEMUNQSH-UHFFFAOYSA-N,-24773.393,-46.1089,262.735,0.368581,11.317,12.755,0.0,-1.7686,-0.21043,0.15623,0.0,206.2866,436.2971191,-6.89
ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,-18268.9682,411.5449,112.34,1.82157,15.672,15.470999999999998,-0.40594,-0.5372100000000001,-0.40594,0.24041,-0.40594,74.1224,255.27035519999995,0.04
ZXFXBSWRVIQKOD-UHFFFAOYSA-N,-26846.9891,-80.7016,328.061,5.8216800000000015,11.954,14.748,-0.22852,-0.51617,-0.22852,0.19055,-0.36935,389.3199,442.5428467,-6.151085
ZXQYGBMAQZUVMI-UHFFFAOYSA-N,-36613.7013,-72.512,502.817,3.56205,12.193,13.935,-0.81265,-1.31696,-0.39547,0.46255,-1.32226,449.8562,742.619751,-8.179996000000001
ZXVONLUNISGICL-UHFFFAOYSA-N,-23957.7066,727.2434,202.519,7.1055600000000005,10.787,15.019,-1.86217,-0.33356,-0.39666,0.59075,-0.68295,198.1348,355.7371521,-1.46
ZYJPUMXJBDHSIF-NSHDSACASA-N,-28435.6663,283.5976,326.791,2.85842,12.667,14.324000000000002,-1.50671,-0.67128,-0.47517,0.4306100000000001,-1.8627,265.3084,515.7813721,-2.1549
ZZLCFHIKESPLTH-UHFFFAOYSA-N,-22726.7757,37.0336,218.713,0.340084,12.203,13.639,0.0,-1.5822,-0.18457,0.14674,0.0,168.2378,389.8683777,-4.62
ZZORFUFYDOWNEF-UHFFFAOYSA-N,-30002.2921,545.8544,331.903,8.3978,11.586,13.421,-2.34218,-0.80083,-0.97386,2.83846,-1.39404,310.327,530.7507324,-2.96
ZZUFCTLCJUWOSV-UHFFFAOYSA-N,-28881.4984,154.5081,326.331,6.07727,11.598,13.8,-2.80992,-1.03618,-0.98544,2.84525,-1.23141,330.7423,521.4887085,-3.80528
