Compound,G_sol,DeltaG_sol,sol_dip,Lsolu_Hsolv,Lsolv_Hsolu,O_charges,C_charges,Most_neg,Most_pos,Het_charges,volume,MW,SASA,LogS
PQSUYGKTWSAVDQ-ZVIOFETBSA-N,-79.21287694,-0.022518563999999998,8.46,4.3863,12.988,0.56776651,-2.37875786,-0.51005609,0.38098988,0.56776651,416.79900000000004,360.4492,542.6033325,-3.85
PRLMFHYBTOQSLN-UHFFFAOYSA-N,-42.53919876,-0.016421478,5.382999999999999,5.04,12.3926,0.0,-1.3540530000000002,-0.41299623,0.24583649,0.58409086,262.764,213.3,435.17816160000007,-2.68
PTFJIKYUEPWBMS-UHFFFAOYSA-N,-73.81609292,-0.015976479,6.885,2.1016,12.6581,0.25008321,-1.71667791,-0.44392245,0.56969412,0.62845852,350.334,333.2665,502.1311951,-6.12
PUFQVTATUTYEAL-UHFFFAOYSA-N,-74.17180340000002,-0.015559354,4.965,3.7665,12.0727,0.23483533,-2.08335062,-0.51607404,0.27672252,0.60694712,433.92,343.468,690.2358397999999,-3.79357
PUIYMUZLKQOUOZ-UHFFFAOYSA-N,-44.60159356,-0.013350286999999999,6.212999999999999,5.8786,12.5094,0.0,-1.26054722,-0.57644287,0.31879231,0.24648306,266.584,206.287,459.36120610000006,-3.5205800000000003
PUJDIJCNWFYVJX-UHFFFAOYSA-N,-32.67930072,-0.015262817,4.234,5.5183,13.5758,0.41579567,-0.92214031,-0.56047104,0.41579567,0.38048886,180.239,151.1646,346.4043579,-0.35
PUXBGTOOZJQSKH-UHFFFAOYSA-N,-53.73140008,-0.019540912,6.62,5.052,12.4915,-0.11195775,-0.73413597,-0.48363648,0.41582939999999996,-0.0557073,293.976,273.7183,480.27700810000005,-4.6983
PWATWSYOIIXYMA-UHFFFAOYSA-N,-31.5104196,-0.0017663470000000001,0.639,5.8674,13.1036,0.0,-0.43166590000000005,-0.11142719,0.04052914,0.0,215.25400000000002,148.2474,399.2201538,-4.64
PWNAWOCHVWERAR-UHFFFAOYSA-N,-88.53733255,-0.017510171,7.104,2.0675,12.8196,0.26130274,-1.54586102,-0.45148255,0.57800351,0.48942227,412.626,421.7351,552.2970581000001,-6.779999
PXWLVJLKJGVOKE-UHFFFAOYSA-N,-48.85492892,-0.017390361,9.11,5.2903,12.0826,0.0,-1.14041242,-0.59562935,0.23725648,0.19456439,293.04900000000004,230.30900000000003,473.00561519999997,-1.9080000000000001
PXWUKZGIHQRDHL-UHFFFAOYSA-N,-46.50433251,-0.020461151,3.505,5.3908,12.4435,0.0,-1.5489793,-0.41736951,0.32898638,0.57543914,266.073,211.2662,469.1613159,-2.08
PYGXAGIECVVIOZ-UHFFFAOYSA-N,-71.79161751,-0.01380849,0.028999999999999998,5.3537,13.7654,0.2436217,-1.85048929,-0.48301293,0.36331732,0.2436217,432.981,314.4642,697.3864746,-3.72126
QANMHLXAZMSUEX-UHFFFAOYSA-N,-44.58670566,-0.018271953,2.615,4.8659,12.1745,0.09977519,-1.19023403,-0.34101471,0.24090581,0.63775072,238.21099999999998,215.21400000000003,415.0334167,-3.946
QAYICIQNSGETAS-UHFFFAOYSA-N,-28.0413595,-0.008793438,10.373,4.4495,12.1223,0.0,-0.87385495,-0.53543878,0.18162362,0.29379921,188.548,162.2674,326.17492680000004,-2.13
QBSJMKIUCUGGNG-UHFFFAOYSA-N,-42.106606799999994,-0.013162288000000001,3.533,5.5674,13.3521,0.40825608,-1.28583595,-0.54937164,0.40825608,0.35756637,246.891,193.245,420.48233030000006,-2.86
QBYJBZPUGVGKQQ-SJJAEHHWSA-N,-56.953800699999995,-0.005893026,3.8939999999999997,4.3151,13.319,0.0,-0.37844034,-0.15665658,0.15794336,0.33196276,331.89599999999996,364.9132,444.6987915,-6.56228
QCDWFXQBSFUVSP-UHFFFAOYSA-N,-30.21788273,-0.010880695,2.5069999999999997,5.742999999999999,12.8278,0.07487366,-0.78217431,-0.51624907,0.37174486,0.07487366,170.338,138.1658,337.56555180000004,-0.70497
QCKHVNQHBOGZER-UHFFFAOYSA-N,-30.17036949,-0.002393063,0.0,3.2757,14.3144,0.0,-0.38302044,-0.10179869,0.10628937,0.21940172,220.703,393.6978,357.5531921,-6.98
QCRFMSUKWRQZEM-UHFFFAOYSA-N,-26.04089627,-0.007046159000000001,2.059,12.0698,13.4178,0.0,-0.72557428,-0.52517277,0.34703105,0.0,156.852,114.18700000000001,303.47399900000005,-0.88
QFMDFTQOJHFVNR-UHFFFAOYSA-N,-57.57984151,-0.005425646,2.795,5.7276,13.0185,0.0,-0.99309218,-0.19432007,0.14627626,0.14627626,368.608,307.262,566.0355835,-7.04
QGBSISYHAICWAH-UHFFFAOYSA-N,-17.97353112,-0.033510249,11.286,5.7397,13.004000000000001,0.0,-0.80608426,-0.47674231,0.25876388,0.12606589,101.51899999999999,84.0804,237.5818176,-0.31
QHTQREMOGMZHJV-UHFFFAOYSA-N,-48.47710635,-0.011558822,5.024,5.1382,12.9204,0.29857743,-0.76557585,-0.52883168,0.29857743,-0.22902732,304.712,257.7775,498.3285828,-3.9339999999999997
QHXDTLYEHWXDSO-UHFFFAOYSA-N,-52.7737598,-0.016195948,7.9879999999999995,4.7089,12.6738,0.0,-1.38928615,-0.38346202,0.28266667,0.52915152,323.18,257.7655,495.33081050000004,-4.41
QIBWCUCLHZVYNL-UHFFFAOYSA-N,-52.42006381,-0.012272779,5.725,4.4504,12.1233,0.0,-1.32061681,-0.53290088,0.26608003,0.46978968,295.779,253.303,462.60458370000003,-3.32
