Compound,G_sol,DeltaG_sol,sol_dip,Lsolu_Hsolv,Lsolv_Hsolu,O_charges,C_charges,Most_neg,Most_pos,Het_charges,volume,MW,SASA,LogS
RPUMZMSNLZHIGZ-UHFFFAOYSA-N,-54.99806349,-0.00958433,2.9589999999999996,4.3051,13.499,0.0,-0.81109551,-0.15825663,0.1211329,0.48830087,331.267,360.8816,485.24526979999996,-8.320027
RQVYBGPQFYCBGX-UHFFFAOYSA-N,-45.67549323,-0.018090913,4.756,4.9521,12.47,0.0,-1.50061281,-0.41797601,0.25538448,0.48288896,283.597,227.3268,482.27865599999996,-3.04
RQZAXGRLVPAYTJ-UHFFFAOYSA-N,-83.5921349,-0.019320727,9.78,4.0214,12.8589,0.8486456,-2.59079209,-0.49325538,0.37067673,0.8486456,465.87800000000004,384.5144,594.7108154,-5.35
RRNIZKPFKNDSRS-UHFFFAOYSA-N,-73.50435531,-0.028663716000000002,4.229,4.7807,12.8845,-0.14245707,-1.24691894,-0.65191707,1.13852055,-0.55576865,447.62199999999996,397.5017,661.3192138999999,-4.2
RSDMFNVRFBIYRK-UHFFFAOYSA-N,-47.27996055,-0.019075974,5.361000000000001,4.0985,13.3146,0.40732457,-1.31455989,-0.53618081,0.36057925,0.38427432,263.29400000000004,219.2396,452.5095825,-1.609
RTHCYVBBDHJXIQ-UHFFFAOYSA-N,-66.51357417,-0.008673645,5.852,5.0467,12.08,0.16009733,-1.38541743,-0.28375181,0.49597363,0.44365278,361.32800000000003,309.3305,562.3121338,-1.59
RTZKZFJDLAIYFH-UHFFFAOYSA-N,-17.61979852,-0.002994439,1.255,11.792,13.3683,0.0,-0.30898707,-0.35978754,0.08848757,0.0,112.344,74.1224,269.9963684,-0.09
RTZZCYNQPHTPPL-UHFFFAOYSA-N,-30.35998845,-0.015679942,6.2,2.7966,14.0047,0.72980633,-0.99274332,-0.44670441,0.56357486,0.28310192,149.16899999999998,139.1104,296.1435547,-1.01
RVCTZJVBWNFYRU-UHFFFAOYSA-N,-40.15241487,-0.01933452,9.102,2.2997,13.8105,0.04054744,-0.8085916999999999,-0.47064978,0.56955222,0.04467577,200.727,246.0169,352.85751339999996,-2.966
RWLALWYNXFYRGW-UHFFFAOYSA-N,-34.23955198,-0.01228689,2.416,11.9621,13.1769,0.08194389,-1.25910728,-0.51280694,0.36061082,0.08194389,205.959,146.22899999999998,372.1791687,-0.54
RWNKSTSCBHKHTB-UHFFFAOYSA-N,-35.84114308,-0.001260775,0.33,3.1068,13.227,0.0,0.06812788,-0.09407002,0.15779084,-5.1e-06,208.558,260.762,355.12695310000004,-4.9149709999999995
RWRDLPDLKQPQOW-UHFFFAOYSA-N,-15.97226831,-0.0011611310000000001,1.3090000000000002,12.3368,11.9482,0.0,-0.41329012,-0.29548197,0.15051528,0.0,104.10799999999999,71.1218,239.5414429,1.15
RXKNNAKAVAHBNK-UHFFFAOYSA-N,-30.58956291,-0.015858587,2.062,2.3403,13.8361,0.91544955,-0.96247472,-0.51422016,0.57623371,0.46409290000000003,146.547,140.0982,290.11193849999995,-0.68825
RXQCEGOUSFBKPI-UHFFFAOYSA-N,-43.20147516,-0.018803432,12.242,3.16,12.4489,0.67392532,-1.27630591,-0.48015622,0.53761748,0.27603199,227.111,196.2054,410.3777771,-3.159
RZFZBHKDGHISSH-UHFFFAOYSA-N,-46.87986691,-0.006127489,1.546,4.5701,13.3603,0.0,-0.79474105,-0.21765693,0.11084285,0.31774579,291.14799999999997,291.9914,448.4660034,-6.940002000000001
RZILCCPWPBTYDO-UHFFFAOYSA-N,-51.03631772,-0.01492539,6.882000000000001,4.9012,12.8537,0.31918923,-1.04467569,-0.55839925,0.49556681,0.12204556,249.507,232.2049,426.48349,-3.43
RZTAMFZIAATZDJ-UHFFFAOYSA-N,-76.32316696,-0.029111812,12.44,4.5217,12.3898,-0.35614682,-1.09034666,-0.53267487,0.34478936,-0.42136659,425.965,384.2584,587.7645263999999,-5.682
RZVHIXYEVGDQDX-UHFFFAOYSA-N,-42.03846936,-0.009298558,0.109,2.8507,13.3646,0.22993502,-0.80838763,-0.42809643,0.2299351,0.22993502,233.71900000000002,208.21599999999998,387.62573239999995,-5.19
SAOKZLXYCUGLFA-UHFFFAOYSA-N,-84.34177212,-0.015133938000000001,3.505,5.3533,13.6381,0.24281014,-2.10337671,-0.489601,0.36595975,0.24281014,516.104,370.5714,770.1970825,-5.064
SBPBAQFWLVIOKP-UHFFFAOYSA-N,-59.44195729,-0.01166387,3.978,3.4732,13.0344,-0.36795903,-0.53640416,-0.47432764,0.49295595,-0.10535077,346.95300000000003,350.5836,529.8200684,-5.5136959999999995
SBYAVOHNDJTVPA-UHFFFAOYSA-N,-41.58445765,-0.027644555,11.699000000000002,5.89,13.285,0.34401023,-1.23999454,-0.54334597,0.34401023,0.01379373,227.747,185.2254,402.3886414,-2.15
SBZXBUIDTXKZTM-UHFFFAOYSA-N,-32.00094601,-0.007978937,0.292,11.2756,13.4676,0.15145575,-0.86209128,-0.34757736,0.07759757,0.15145575,180.832,134.1748,372.11611939999995,0.88
SDDBCEWUYXVGCQ-UHFFFAOYSA-N,-31.65170246,-0.0021420420000000003,0.005,5.0126,12.4622,0.0,-0.44424608,-0.11842044,0.05340672,0.0,201.512,156.2268,358.5672302,-4.74
SDKQRNRRDYRQKY-UHFFFAOYSA-N,-49.23447329,-0.017366068999999998,5.393,5.2507,13.6288,0.73710657,-1.7099196,-0.55325398,0.40912447,0.68494578,256.51599999999996,223.22799999999998,443.48336789999996,-1.57
SDOJHDGZFOGOFD-UHFFFAOYSA-N,-50.74834059,-0.003642181,1.537,4.5853,12.2111,0.0,-0.60671188,-0.12097680000000001,0.05490324,0.0,310.371,256.3464,470.7662964,-7.0099990000000005
SECXISVLQFMRJM-UHFFFAOYSA-N,-22.21920075,-0.009827856,5.843999999999999,6.2942,13.0539,0.0,-0.78752416,-0.55438017,0.2701173,0.2701173,130.713,99.1322,275.8137512,1.0
SGEJQUSYQTVSIU-UHFFFAOYSA-N,-42.15801271,-0.010935941000000001,3.38,5.7475,12.8929,0.29863142,-0.73453099,-0.53415916,0.29863142,-0.23552774,275.623,203.342,478.3268738,-3.3789599999999997
SGMHGVVTMOGJMX-UHFFFAOYSA-N,-41.39835459,-0.013993526000000001,7.434,4.6457,12.5828,0.28840078,-0.72312352,-0.49110898,0.28840078,-0.2027082,248.062,217.285,427.36291500000004,-3.3369999999999997
SGUAFYQXFOLMHL-UHFFFAOYSA-N,-70.65608979,-0.023162621,7.3229999999999995,4.5727,12.0834,0.27023351,-2.61194775,-0.55095813,0.36957136,0.56101719,403.159,328.4102,619.5836182,-1.3
SJNIEBAPMPLYAB-UHFFFAOYSA-N,-68.74071834,-0.01826562,10.238,3.4291,12.8329,-0.63504282,-0.9097396999999999,-0.51690777,0.50484193,-0.38796987,382.45599999999996,362.7642,579.9417114,-5.38
SJRJJKPEHAURKC-UHFFFAOYSA-N,-23.18008728,-0.0032872120000000003,1.746,11.5574,12.1985,0.07046092,-0.46972247,-0.35084792,0.07046092,0.02891286,135.562,101.148,272.15853880000003,1.0
SKGXYFVQZVPEFP-UHFFFAOYSA-N,-54.02181293,-0.0063622,2.5660000000000003,4.3136,12.874,0.24150388,-0.88348249,-0.22384535,0.13418458,0.49452563,295.695,321.9744,456.3320313,-8.890084
SKIVFJLNDNKQPD-UHFFFAOYSA-N,-43.41718153,-0.034734961,10.472999999999999,5.1002,12.5793,0.82653302,-1.5659393999999998,-0.65714676,1.18361821,0.27138197,227.41,214.2386,403.2633057,-1.35405
SKKTUOZKZKCGTB-UHFFFAOYSA-N,-27.28890798,-0.014205246999999999,4.099,6.3838,14.077,0.41480547,-0.92578764,-0.56256911,0.41480547,0.29804015,152.53799999999998,117.1474,322.1795959,-0.66
SLAMLWHELXOEJZ-UHFFFAOYSA-N,-36.56880578,-0.0215172,8.087,2.7411,14.1311,0.47442421,-0.86229455,-0.48066784,0.56983582,0.05226088,172.77,167.1208,319.4908752,-1.474
SLGBZMMZGDRARJ-UHFFFAOYSA-N,-44.47322067,-0.0028273820000000002,0.0,4.8046,12.7328,0.0,-0.40133165,-0.04006636,0.037827099999999995,0.0,269.848,228.2928,426.16171260000004,-6.74
SLXKOJJOQWFEFD-UHFFFAOYSA-N,-30.398110100000004,-0.015832376000000002,3.391,5.3348,12.2117,0.37066334,-1.2097178,-0.48834734,0.41607185,0.39231127,174.571,131.1742,350.2297974,-0.97469
SLZWBCGZQRRUNG-UHFFFAOYSA-N,-57.80752029,-0.013506401000000001,3.403,5.7257,13.1759,0.4064191,-1.65504537,-0.54778306,0.4064191,0.34023586,355.23699999999997,263.379,546.1354980000001,-4.24
SMDHCQAYESWHAE-UHFFFAOYSA-N,-74.84244404,-0.015689267,6.229,2.0811,12.6205,0.24577809,-1.71940299,-0.45378303,0.57301603,0.62509282,353.772,335.2823,519.9810181,-5.53
SMQUZDBALVYZAC-UHFFFAOYSA-N,-26.0815965,-0.012697671,7.257000000000001,3.7217,13.4534,0.15920801,-0.82557437,-0.43216450000000006,0.39311924,0.15920801,144.45,122.1232,283.5363159,-0.86
SNHRLVCMMWUAJD-SUYDQAKGSA-N,-105.36266840000002,-0.032791588999999996,4.975,3.9691,12.9257,1.02820953,-3.53796734,-0.49642703,0.36355147,1.02820953,551.241,476.5841,680.3357543999999,-4.9073
SNHRLVCMMWUAJD-UHFFFAOYSA-N,-105.3547807,-0.030872737999999997,6.997999999999999,4.0124,13.1613,1.10941246,-3.38609885,-0.49441244,0.36273672,1.10941246,552.535,476.5841,696.6322021000001,-4.71
SNICXCGAKADSCV-UHFFFAOYSA-N,-34.2149895,-0.005635622,3.076,5.0176,12.0051,0.0,-0.55565673,-0.25317895,0.05180903,0.01933669,208.41299999999998,162.234,361.3239441,0.79
SNIOPGDIGTZGOP-UHFFFAOYSA-N,-53.92983028,-0.019626136000000002,8.331,2.6210000000000004,15.5271,1.22461839,-0.55661404,-0.42284805,0.78650681,0.28065112,214.13099999999997,227.0872,395.6072388,-2.22
SNWQKAWITMVCQW-UHFFFAOYSA-N,-74.73236340000001,-0.04607649,13.384,3.8569,13.2119,1.01763194,-2.37170516,-0.64449644,1.19589135,0.46812700000000007,376.306,362.3564,583.7888184,-2.517
SONNWYBIRXJNDC-VIFPVBQESA-N,-36.78314157,-0.014380044,2.322,5.6044,12.1361,0.14463410000000002,-1.45557199,-0.50341463,0.37410482,0.15038584,210.43,167.2072,383.5526733,0.58
SPANOECCGNXGNR-UHFFFAOYSA-N,-49.24597523,-0.011347969,6.104,4.93,12.9705,0.30318259,-0.82985587,-0.50498987,0.30318259,-0.18531432,314.952,270.2164,481.8903198,-4.06988
SPFYMRJSYKOXGV-UHFFFAOYSA-N,-77.34541335,-0.032413296,13.453,4.0569999999999995,12.0298,0.05716906,-1.76869574,-0.5248911,0.41154158,0.17809642,408.39,359.3995,585.4770507999999,-3.1811
SPSSULHKWOKEEL-UHFFFAOYSA-N,-50.33356111,-0.018788672,3.343,2.1229,14.0285,0.96409154,-1.25744898,-0.41841495,0.59864216,0.59065757,219.37599999999998,227.13299999999998,380.20626830000003,-3.22
SSLKKMZJCJBOML-UHFFFAOYSA-N,-49.008261299999994,-0.016200041000000002,4.328,3.8361,12.6717,0.27185747,-0.84658079,-0.52306476,0.27185747,-0.12567088,292.358,259.7531,474.19201660000004,-1.72
STCOOQWBFONSKY-UHFFFAOYSA-N,-58.10248952,-0.00937061,5.042,7.3376,14.2093,-0.11334699,-1.13321988,-0.55360303,0.67807511,-0.11334699,353.189,266.3167,587.9385986000001,-2.846
SUSRORUBZHMPCO-UHFFFAOYSA-N,-66.70690473,-0.020278793,8.537,2.4838,13.3252,0.17220511,-1.15597119,-0.47024218,0.56356963,0.28617567,346.474,342.1348,536.3735352,-6.0
SVFKQHLOBRUZGV-UHFFFAOYSA-N,-52.71298785,-0.012030527,4.0569999999999995,4.3136,12.2819,0.0,-1.37308296,-0.51949372,0.26725994,0.49776412,291.806,254.2908,464.4902039,-2.62
SYBYTAAJFKOIEJ-UHFFFAOYSA-N,-19.76112833,-0.005339081999999999,3.985,4.9251,13.2315,0.0,-0.44633416,-0.43456151,0.24806748,0.0,127.625,86.1334,271.3504334,-0.12
SZYWFOPNFNROQB-UHFFFAOYSA-N,-36.09181219,-0.006097766,1.805,2.9851,13.5989,0.0,-0.6474006,-0.2770384,0.47862937,0.4519404,212.502,239.5063,346.8347168,-4.98
TUNFSRHWOTWDNC-UHFFFAOYSA-N,-52.09877503,-0.013464585,2.612,5.3388,13.3935,0.37058916,-1.69719902,-0.48905136,0.41573314,0.37058916,331.332,228.37400000000002,578.755249,-5.33
TVMXDCGIABBOFY-UHFFFAOYSA-N,-26.11606855,-0.000914318,0.0,13.5567,13.5746,0.0,-0.4760566,-0.11122428,0.03753815,0.0,187.571,114.2302,373.4918213,-5.24
TXCDCPKCNAJMEE-UHFFFAOYSA-N,-33.7250718,-0.002229156,1.069,4.9555,13.0228,0.0,-0.34345421,-0.25512196,0.12671713,0.0,196.602,168.1946,354.05453489999996,-4.51267
TXVHTIQJNYSSKO-UHFFFAOYSA-N,-48.77188647,-0.0031801520000000003,0.064,4.4282,12.4893,0.0,-0.40547081,-0.04204141,0.03809056,0.0,291.363,252.3148,442.34899900000005,-7.7999979999999995
TYHHDWAHJRRYCU-UHFFFAOYSA-N,-43.76749872,-0.028140066000000002,11.522,2.9935,13.7302,0.65257099,-1.18790674,-0.46355602,0.55945501,0.18901497,206.551,197.14700000000002,371.63241580000005,-2.0140000000000002
TYMLOMAKGOJONV-UHFFFAOYSA-N,-29.72245574,-0.021058555,14.187000000000001,3.2932,12.9179,0.52040095,-0.89340149,-0.50222844,0.52040095,0.1297981,153.556,138.1256,303.3133545,-2.37
TZFWDZFKRBELIQ-UHFFFAOYSA-N,-32.62765912,-0.012249147,4.445,4.7273,13.5184,-0.09386592,-0.05292423,-0.50563186,0.41176594,-0.03149751,168.26,169.5671,319.0333252,-2.77605
TZIHFWKZFHZASV-UHFFFAOYSA-N,-14.40891364,-0.006479446999999999,5.692,4.6364,14.4681,0.34968256,-0.67620912,-0.44048038,0.34968256,0.34968256,74.755,60.0524,201.8628845,0.58
TZYQTWHRLVDYPL-UHFFFAOYSA-N,-20.43601272,-0.013419781,5.702999999999999,2.4935,12.9647,0.0,-0.85619727,-0.44206323,0.31304231,0.48142545,108.671,96.0884,243.86837769999997,0.59
UAYYWDWWESZIPA-UHFFFAOYSA-N,-71.05424856,-0.03619881,14.952,3.9206,12.3879,0.05284836,-2.01649227,-0.52714795,0.41072219,0.26373737,376.18199999999996,331.3459,552.2521972999999,-5.6160000000000005
UBUCNCOMADRQHX-UHFFFAOYSA-N,-40.47148646,-0.011625366000000002,6.928,3.7845,12.5345,0.0,-0.12214073,-0.46900877,0.0628273,-0.41912543,230.655,198.2238,407.45266719999995,-3.75
UCIUVGVKELKZSD-UHFFFAOYSA-N,-59.55111973,-0.025694948,2.3890000000000002,4.1015,13.2426,0.56356632,-2.51707919,-0.51046454,0.36849163,0.82617384,314.442,267.281,497.815033,0.43
UCMIRNVEIXFBKS-UHFFFAOYSA-N,-20.98298597,-0.015822198,2.2359999999999998,5.2616,12.3382,0.37075606,-1.01895214,-0.49105901,0.41858811,0.3959553,109.50200000000001,89.0938,255.79048160000002,0.9994790000000001
UCNVFOCBFJOQAL-UHFFFAOYSA-N,-52.12917889,-0.007401881999999999,0.259,4.6427,13.1518,0.0,-0.62310435,-0.2149261,0.15287349,0.1806098,325.654,318.0292,492.9644165,-6.899997999999999
UCTWMZQNUQWSLP-UHFFFAOYSA-N,-40.85980475,-0.027260472999999997,2.424,5.5447,12.1319,0.22802150000000002,-1.7905254000000002,-0.50331032,0.37670244,0.23260599,222.293,183.2066,394.15875239999997,-0.9620000000000001
UDUNORRTIFRHKX-UHFFFAOYSA-N,-100.5407311,-0.027890582,3.3360000000000003,4.2526,12.0771,0.06732067,-1.85460588,-0.49064825,0.37595362,-0.28838898,560.229,495.4016,822.428894,-1.5990799999999998
UEJJHQNACJXSKW-UHFFFAOYSA-N,-54.96468064,-0.01917052,6.931,2.8653,14.0576,0.87900185,-1.3833176,-0.44842759,0.30529073,0.46547669,270.039,258.233,446.11047360000003,-2.68
UFNIBRDIUNVOMX-UHFFFAOYSA-N,-38.75877222,-0.005749722,4.041,4.8638,13.1251,0.0,-0.57926938,-0.22580346,0.09982876,0.09982876,243.12599999999998,223.1012,406.2637024,-5.28
UFQCLRMJHOWNLX-UHFFFAOYSA-N,-71.55222254,-0.017532593,12.152000000000001,4.0994,12.296,0.24713472,-1.78178682,-0.34302091,0.21973596,0.6412762,389.99800000000005,402.2467,608.4851685,-3.222
UGQVTTBSGZLNIL-UHFFFAOYSA-N,-44.32005975,-0.027005459,5.425,4.1867,12.5421,0.63864519,-1.13839562,-0.66769723,1.18461227,-0.16029231,246.859,251.333,406.7077637,-2.254
UJOBWOGCFQCDNV-UHFFFAOYSA-N,-33.08859254,-0.004835201,2.41,5.2689,12.3841,0.0,-0.04674876,-0.13746357,0.20223085,0.0,200.977,167.2098,359.0768738,-4.97
ULBXWWGWDPVHAO-UHFFFAOYSA-N,-44.09760409,-0.012752486,2.911,5.1563,13.2667,-0.10704337,-0.86379336,-0.52037051,0.41332714,-0.02139825,254.076,223.6585,447.9688721,-2.62
ULSIYEODSMZIPX-UHFFFAOYSA-N,-29.56393058,-0.010192245,3.016,5.694,12.3144,0.0,-0.9487701999999999,-0.50462616,0.33858533,0.01357082,175.68400000000003,137.181,334.88833619999997,-0.48
UMGDCJDMYOKAJW-UHFFFAOYSA-N,-13.25199445,-0.0197851,8.183,5.6053,11.7083,0.0,-0.65726633,-0.65726633,0.24791506,-0.04040416,89.4465,76.116,216.6707001,0.32
UMIPWJGWASORKV-UHFFFAOYSA-N,-24.04624384,-0.002120818,0.855,8.1036,13.4226,0.0,-0.45515900000000004,-0.13765706,0.08320343,0.0,176.528,110.1986,355.57751460000003,-3.66
UNAHYJYOSSSJHH-UHFFFAOYSA-N,-73.79184758,-0.033877901,7.09,2.1392,12.5853,0.7668965,-1.83744664,-0.64858163,1.1712831,0.20635103,366.56199999999995,346.3574,545.2680054,-5.16
UNXHWFMMPAWVPI-UHFFFAOYSA-N,-29.81507117,-0.027983595,0.0,10.9216,13.4244,0.22794403,-1.42730824,-0.51873715,0.37214178,0.22794403,146.219,122.1206,292.48217769999997,0.7
UOAMTSKGCBMZTC-UHFFFAOYSA-N,-61.25495037,-0.013049411,2.862,4.8639,13.4639,0.14512998,-1.40472188,-0.47693545,0.37143542,0.45926391,356.228,370.4895,507.09841919999997,-5.67
UPMXNNIRAGDFEH-UHFFFAOYSA-N,-31.591701300000004,-0.015428801,2.28,3.4995,14.1025,0.15293118,-0.8909568000000001,-0.41845726,0.39758489,0.3446805,202.56,276.9148,344.9935913,-3.33
UPTOWXNJLZJTGD-UHFFFAOYSA-N,-40.69069731,-0.016114849,11.218,3.0099,13.0995,0.86292571,-1.10405169,-0.46634637,0.55618075,0.39657934,200.678,183.1634,370.4014587,-3.117
UQDUPQYQJKYHQI-UHFFFAOYSA-N,-48.95228023,-0.00756412,2.7880000000000003,5.3534,13.4787,0.36292299,-1.40325389,-0.47858798,0.36292299,0.36292299,310.32599999999996,214.3472,549.3039551,-4.69
UQIKOYWGLUXMNE-UHFFFAOYSA-N,-63.8657044,-0.026123177999999997,5.787999999999999,4.098,13.4756,0.30451919,-1.59034887,-0.52834911,0.37110945,0.28141538,340.181,291.303,541.2770386,-2.084
URAYPUMNDPQOKB-UHFFFAOYSA-N,-50.69733922,-0.020444509,7.624,5.1606,14.1077,1.22190567,-2.47261469,-0.49465301,0.37409899,1.22190567,258.993,218.206,450.05828859999997,-0.6
UREBDLICKHMUKA-DVTGEIKXSA-N,-86.58165561,-0.036213491,7.407,3.9896,12.7253,0.64479327,-2.96127126,-0.51023373,0.37728093,0.64479327,442.82300000000004,392.4665,568.8005981000001,-3.7945
UVKZSORBKUEBAZ-UHFFFAOYSA-N,-55.29624808,-0.004058295999999999,0.39899999999999997,5.6107,11.9989,0.0,-0.71242743,-0.1924138,0.04772268,0.05360837,347.091,266.3852,511.7869568,-1.527
UVTNFZQICZKOEM-UHFFFAOYSA-N,-72.20651101,-0.015440865,4.216,5.1371,11.6137,0.0,-1.93026497,-0.52772165,0.29193552,0.41434896,428.61,339.4796,604.3138428,-1.75
UYXAWHWODHRRMR-UHFFFAOYSA-N,-51.7598864,-0.013478186000000001,1.896,3.9486,13.1548,0.63976937,-1.58493454,-0.46192303,0.34606937,0.46059003,271.408,236.27,436.02767939999995,-2.76364
VAOCPAMSLUNLGC-UHFFFAOYSA-N,-38.22860754,-0.022806579,7.755,2.843,13.3947,0.62039368,-1.12415424,-0.50934335,0.53848937,0.02506284,191.88,171.1554,338.605896,-1.20351
VDAMAZDKFJYVCT-UHFFFAOYSA-N,-61.96428929999999,-0.039819286,13.798,3.7038,13.4617,1.06376643,-1.49335682,-0.65850829,1.19468797,0.21064391,333.38199999999995,333.3916,522.2833862,-4.2219999999999995
VDTNNGKXZGSZIP-UHFFFAOYSA-N,-56.27060175,-0.039374053,10.173,5.3577,12.5547,0.8636905999999999,-1.3959997,-0.66483924,1.18863989,-0.24482311,305.731,271.3336,515.7579346,-2.18
VGGSQFUCUMXWEO-UHFFFAOYSA-N,-6.242482835,-0.00026499900000000003,0.0,6.2502,13.7978,0.0,-0.08862523,-0.08862538,0.04431287,0.0,53.1113,28.0536,168.6442261,-0.4
VGPYEHKOIGNJKV-UHFFFAOYSA-N,-47.49761892,-0.035209528,10.722000000000001,5.1628,12.6156,0.46269357,-1.20904958,-0.65209878,1.1964531,-0.08731136,238.497,230.238,420.4824524,-1.66
VGQLNJWOULYVFV-UHFFFAOYSA-N,-46.78966001,-0.013860958999999999,5.191,4.8346,13.3936,0.25397725,-1.18336293,-0.46811364,0.36104735,0.25397725,246.68,210.2292,421.44052120000003,-1.2
VGVIKVCCUATMNG-UHFFFAOYSA-N,-42.81480568,-0.005235504,2.846,4.553999999999999,13.2463,0.0,-0.59587144,-0.16583215,0.10881549,0.18810294,262.503,257.5463,426.9241028,-6.27
VGZSUPCWNCWDAN-UHFFFAOYSA-N,-67.4620197,-0.031807972000000004,6.314,3.533,13.4271,1.14579055,-1.60269022,-0.65378742,1.2122875,-0.04509092,364.61699999999996,324.394,572.0822143999999,-2.06
VHZXNQKVFDBFIK-NBBHSKLNSA-N,-62.93940255,-0.008775875,6.244,4.1369,12.6971,0.24182471,-1.19817633,-0.38576972,0.24182471,0.24182471,360.046,290.4201,498.08703610000003,-6.79588
VIKNJXKGJWUCNN-XGXHKTLJSA-N,-63.84988052,-0.01568533,7.005,4.3926,12.9764,0.15511402,-1.34290903,-0.49766381,0.34359878,0.15511402,378.686,298.4242,516.3717651000001,-4.693980000000001
VKNITLPENCJQOP-UHFFFAOYSA-N,-42.39885771,-0.00876478,7.2410000000000005,4.5994,13.3723,0.24264334,-0.9999585999999999,-0.25516749,0.12274623,0.38684736,238.643,241.5011,382.8556213,-4.37
VLKZOEOYAKHREP-UHFFFAOYSA-N,-19.83915119,-0.0006235559999999999,0.0,13.8667,13.745,0.0,-0.35193603,-0.11108657,0.03743758,0.0,144.275,86.1766,310.0846252,-3.84
VLYWMPOKSSWJAL-UHFFFAOYSA-N,-56.63713174,-0.035258063,9.945,4.0903,12.3461,0.71867323,-1.46683332,-0.65968494,1.15757867,0.09448654,295.346,280.3008,485.39355470000004,-3.28
VMKOFRJSULQZRM-UHFFFAOYSA-N,-29.70848716,-0.003523229,4.419,5.7955,13.6345,0.0,-0.59380857,-0.24587917,0.07078873,0.0,216.243,193.1263,404.6979675,-5.06
VOEYXMAFNDNNED-UHFFFAOYSA-N,-35.83120406,-0.012998843999999999,4.047,5.5667,13.3187,0.40613803,-1.17451714,-0.54641182,0.40613803,0.35204281,202.55599999999998,165.1914,383.9714355,-1.8
VOKSWYLNZZRQPF-GDIGMMSISA-N,-61.11517784,-0.009963806,1.841,5.8145,11.6483,0.0,-1.24554237,-0.46790977,0.36792642,0.02342365,372.275,285.4284,537.7850952,-3.8032
VOXZDWNPVJITMN-UHFFFAOYSA-N,-58.63803843,-0.015051822,2.013,5.8841,12.7456,0.11435024,-1.56812865,-0.51063557,0.36710549,0.11435024,335.588,272.3864,482.11947630000003,-4.84
VPGRYOFKCNULNK-UHFFFAOYSA-N,-81.45869864,-0.01878958,5.853,4.2864,13.0065,0.8561584000000001,-2.52156655,-0.49028841,0.37321861,0.8561584000000001,459.385,372.5034,593.8684082000001,-4.63
VREFGVBLTWBCJP-UHFFFAOYSA-N,-59.08260179999999,-0.017721643000000002,7.027,3.8817,12.5074,0.0,-0.6947584,-0.26287951,0.13487944,-0.14279608,339.6,308.7695,517.0610352,-3.4330000000000003
VSNHCAURESNICA-UHFFFAOYSA-N,-18.09144808,-0.029609696,8.466000000000001,7.1627,12.9507,-0.11204234,-0.5772918,-0.5772918,0.41072384,-0.21162641,82.4982,76.0548,213.03703309999997,1.12
VUNCWTMEJYMOOR-UHFFFAOYSA-N,-37.98653869,-0.001288539,0.7879999999999999,2.943,13.8187,0.0,-0.12930805,-0.09988707,0.16534769,0.18255513,232.423,272.77299999999997,357.1887512,-5.18
VVNCNSJFMMFHPL-UHFFFAOYSA-N,-30.51148584,-0.015680473,3.397,4.8102,12.3655,-0.12756517,-1.16454437,-0.48388950000000003,0.42199771,-0.09144137,179.165,149.2074,310.7606506,-0.13
VVQNEPGJFQJSBK-UHFFFAOYSA-N,-22.81671608,-0.007693726999999999,3.161,4.1954,13.8675,0.35351465,-0.84169092,-0.49590443,0.35351465,0.35351465,131.845,100.117,283.2293396,-0.8
VVSSGCCPNDSLPL-UHFFFAOYSA-N,-48.38044563,-0.040298145,11.102,3.9813,13.8108,0.9420353000000001,-1.34827029,-0.66496841,1.18598854,0.08624537,253.916,267.3324,420.0284119,-2.679
VWPOSFSPZNDTMJ-UCWKZMIHSA-N,-69.02856814,-0.016260185,4.805,5.9059,11.9923,0.13636046,-2.44899034,-0.51439862,0.35822432,0.13612803,388.30699999999996,309.4046,566.6673584,-1.008
VXGYRCVTBHVXMZ-UHFFFAOYSA-N,-35.94668739,-0.016440976,0.7859999999999999,3.6868,12.5627,0.36344774,-1.23889709,-0.50010961,0.41672079,0.45842799,194.018,173.1708,348.3623962,-0.043
VXIVSQZSERGHQP-UHFFFAOYSA-N,-17.83804436,-0.017959789,7.063,5.8341,13.6691,0.29512384,-0.2522993,-0.51169358,0.29512384,-0.21656974,99.2661,93.5127,230.4918518,-0.02
VXLVYFXPZGPXCT-UHFFFAOYSA-N,-62.77654594,-0.039208368,13.529000000000002,4.296,13.456,1.10261217,-1.67737026,-0.64108357,1.19039294,0.36376641,318.14,317.33099999999996,515.1323242,-3.0239999999999996
VYWYYJYRVSBHJQ-UHFFFAOYSA-N,-47.02693231,-0.024437885,6.084,2.213,14.7028,0.69597735,-1.16527299,-0.45887963,0.59625383,0.31360663,207.938,212.1184,364.5610352,-2.417
WBJINCZRORDGAQ-UHFFFAOYSA-N,-17.54960749,-0.00624182,5.854,4.6237,14.4801,0.35120989,-0.61680497,-0.43949896,0.35120989,0.35120989,95.5052,74.0792,233.32530209999996,0.15
WCLNVRQZUKYVAI-UHFFFAOYSA-N,-66.1824573,-0.005850124,1.587,3.8155,13.2757,0.04788303,-0.54648119,-0.19009853,0.14736256,0.49593434,362.406,425.3097,508.2099915,-11.221848
WCYYQNSQJHPVMG-UHFFFAOYSA-N,-62.12926904,-0.005981218000000001,0.85,3.9665,13.1145,0.24408593,-0.82075357,-0.19854235,0.12896395,0.62649169,340.324,390.8646,492.6019287,-9.950782
