Compound,G_sol,DeltaG_sol,sol_dip,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,volume,LogS,Lsolu_Hsolv,Lsolv_Hsolu
HNDVDQJCIGZPNO-YFKPBYRVSA-N,-21780.5685,163.1558,3.4659400000000002,-0.78456,-0.4563,-0.46961,0.44372,-0.6412800000000001,155.156,325.62695310000004,182.34599999999998,-0.56543,13.020999999999999,13.777999999999999
HNJBEVLQSNELDL-UHFFFAOYSA-N,-18476.9375,-14.2385,5.31951,-0.5282600000000001,-0.09912,-0.5282600000000001,0.24683000000000002,-0.47696000000000005,85.1054,248.3931122,107.402,1.07,13.644,13.735999999999999
HOQADATXFBOEGG-UHFFFAOYSA-N,-37694.5456,-504.9486,8.54487,-1.78088,-0.46547,-0.9471700000000001,1.9425700000000001,-1.27708,345.3927,605.788147,405.777,-4.19,11.057,13.392999999999999
HORNXRXVQWOLPJ-UHFFFAOYSA-N,-20270.7883,-128.744,2.00251,-0.31037,-0.49138000000000004,-0.31037,0.25301999999999997,-0.26692,128.5579,282.5514526,140.017,-0.7,12.280999999999999,13.786
HPQURZRDYMUHJI-UHFFFAOYSA-N,-24684.3615,-161.8626,0.05154580000000001,0.0,-1.0803399999999999,-0.11671,0.06813999999999999,0.0,140.268,397.4005127,217.423,-6.08,15.704,15.479000000000001
HPXRVTGHNJAIIH-UHFFFAOYSA-N,-19359.4338,-23.1499,1.77777,-0.38301,-0.47595,-0.38301,0.22853,-0.38301,100.1602,280.6763,138.352,-0.44,15.347000000000001,15.164000000000001
HPYNZHMRTTWQTB-UHFFFAOYSA-N,-20523.8316,57.6598,2.5305,0.0,-0.61692,-0.15825,0.12724000000000002,-0.1184,107.1548,290.56604,143.8,0.38,12.335,13.985999999999999
HRBKVYFZANMGRE-UHFFFAOYSA-N,-29225.8149,-187.0619,3.5669999999999997,-1.73783,-0.060660000000000006,-1.0426799999999998,2.14121,-0.3542,322.53,459.71392819999994,298.369,-4.82,10.780999999999999,13.462
HRPVXLWXLXDGHG-UHFFFAOYSA-N,-17607.655,-2.5874,4.742319999999999,-0.5497,-0.03052,-0.5497,0.25783,-0.42875,71.0786,229.43733219999996,92.8374,0.970115,12.591,13.887
HRVUKLBFRPWXPJ-UHFFFAOYSA-N,-26330.3532,65.7308,1.59179,-0.2096,-0.72428,-0.13489,0.14585,0.07547999999999999,287.5293,431.71472170000004,272.577,-7.596665,11.652000000000001,13.064
HSFWRNGVRCDJHI-UHFFFAOYSA-N,-11843.0481,-7.7304,0.000334129,0.0,-0.41067,-0.20535,0.20536,0.0,26.0378,153.3953247,49.1373,0.29,14.329,16.02
HUPFGZXOMWLGNK-UHFFFAOYSA-N,-27333.9027,189.2219,3.4728800000000004,-1.09134,-0.04113,-0.47296000000000005,0.48807,-1.28926,250.2012,426.2732239,263.182,-4.114,11.626,13.626
HUTDUHSNJYTCAR-UHFFFAOYSA-N,-27332.3765,-168.8865,2.83832,-0.57457,-0.91143,-0.35575,0.27073,-0.8889100000000001,256.3036,480.0740051,306.89,-2.6,11.898,13.507
HWHLPVGTWGOCJO-UHFFFAOYSA-N,-31321.4959,-38.3659,1.207,-0.36121,-1.90583,-0.36121,0.22478,-0.4528,301.471,563.4611206000001,393.265,-1.815,12.517999999999999,13.48
HWWYDZCSSYKIAD-UHFFFAOYSA-N,-20142.4477,28.1002,2.81597,0.0,-0.6027899999999999,-0.12635,0.13096,-0.11737,107.1548,295.6008911,145.638,0.38,12.32,14.011
HYBBIBNJHNGZAN-UHFFFAOYSA-N,-19453.5072,-308.3867,4.27121,-0.42616000000000004,-0.14275,-0.42139,0.40457,-0.42616000000000004,96.0854,251.094162,111.603,-0.1,11.798,13.908
