Compound,G_sol,DeltaG_sol,volume,sol_dip,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,LogS,Lsolu_Hsolv,Lsolv_Hsolu
SLXKOJJOQWFEFD-UHFFFAOYSA-N,-21920.1073,17.9912,174.571,3.13547,-0.76603,0.4277,-0.44746,0.38533,-1.12675,131.1742,350.2297974,-0.97469,13.179,15.79
SLZWBCGZQRRUNG-UHFFFAOYSA-N,-28652.6934,254.5789,355.23699999999997,2.45647,-0.75979,0.71701,-0.50055,0.50452,-1.14726,263.379,546.1354980000001,-4.24,12.079,15.015999999999998
SMDHCQAYESWHAE-UHFFFAOYSA-N,-29841.0995,228.6135,353.772,2.33051,-1.43092,1.02403,-0.38947,0.67461,-1.39962,335.2823,519.9810181,-5.53,10.222999999999999,15.943
SMQUZDBALVYZAC-UHFFFAOYSA-N,-20058.786,-8.6375,144.45,3.90984,-0.71815,0.12855,-0.39095,0.35563,-0.71815,122.1232,283.5363159,-0.86,11.640999999999998,15.008
SNHRLVCMMWUAJD-SUYDQAKGSA-N,-34993.8153,24.7976,551.241,6.03774,-2.11675,0.9283600000000001,-0.41907,0.36052,-2.37818,476.5841,680.3357543999999,-4.9073,11.593,15.737
SNHRLVCMMWUAJD-UHFFFAOYSA-N,-35471.6612,-256.5355,552.535,4.949409999999999,-2.1109400000000003,0.90022,-0.4194,0.36198,-2.37647,476.5841,696.6322021000001,-4.71,11.753,15.625
SNICXCGAKADSCV-UHFFFAOYSA-N,-22379.8697,68.8991,208.41299999999998,3.4217,0.0,0.17895,-0.37185,0.14123,-0.68571,162.234,361.3239441,0.79,12.057,15.177
SNIOPGDIGTZGOP-UHFFFAOYSA-N,-24494.9054,81.2718,214.13099999999997,3.71335,-2.5194,0.34618000000000004,-0.34515999999999997,0.6006100000000001,-0.72647,227.0872,395.6072388,-2.22,11.123,17.858
SNWQKAWITMVCQW-UHFFFAOYSA-N,-31573.1616,119.3389,376.306,10.5558,-3.13473,0.66389,-0.77977,1.89542,-2.19536,362.3564,583.7888184,-2.517,10.439,15.071
SONNWYBIRXJNDC-VIFPVBQESA-N,-23409.6538,-363.3012,210.43,4.142519999999999,-0.70113,0.14282,-0.37472,0.23095,-1.07585,167.2072,383.5526733,0.58,12.168,14.944
SPANOECCGNXGNR-UHFFFAOYSA-N,-27597.4602,3.0860000000000003,314.952,3.71596,-0.43998000000000004,0.5524100000000001,-0.43998000000000004,0.29318,-0.9666600000000001,270.2164,481.8903198,-4.06988,11.939,15.622
SPFYMRJSYKOXGV-UHFFFAOYSA-N,-30954.8561,172.2034,408.39,9.23707,-1.1924700000000001,1.2146,-0.4778,0.46912,-2.28379,359.3995,585.4770507999999,-3.1811,11.349,14.439
SPSSULHKWOKEEL-UHFFFAOYSA-N,-25833.7905,-71.9836,219.37599999999998,0.53561,-2.1912700000000003,0.20754,-0.36764,0.53158,-0.6019100000000001,227.13299999999998,380.20626830000003,-3.22,10.198,16.599
SSLKKMZJCJBOML-UHFFFAOYSA-N,-26981.6714,1.4979,292.358,0.7015,-0.45708000000000004,0.5293899999999999,-0.45708000000000004,0.38279,-1.01304,259.7531,474.19201660000004,-1.72,11.380999999999998,15.245999999999999
STCOOQWBFONSKY-UHFFFAOYSA-N,-31650.4073,-78.138,353.189,5.52619,-2.23339,0.50027,-0.7602899999999999,1.39009,-0.8433,266.3167,587.9385986000001,-2.846,10.762,16.953
SUSRORUBZHMPCO-UHFFFAOYSA-N,-30222.3654,-49.7165,346.474,5.01733,-1.67333,0.68939,-0.39669,0.51723,-1.35064,342.1348,536.3735352,-6.0,10.462,15.050999999999998
SVFKQHLOBRUZGV-UHFFFAOYSA-N,-25969.118,54.5064,291.806,3.22871,-0.46967,1.17012,-0.46967,0.44375,-1.8020900000000002,254.2908,464.4902039,-2.62,11.6,14.502
SYBYTAAJFKOIEJ-UHFFFAOYSA-N,-18721.1422,-2.4283,127.625,3.06754,-0.365,0.22436999999999999,-0.365,0.26065,-0.365,86.1334,271.3504334,-0.12,12.833,16.192
SZYWFOPNFNROQB-UHFFFAOYSA-N,-24142.9112,-119.9404,212.502,0.876199,0.0,0.13165,-0.3914,0.7394,-0.24173000000000003,239.5063,346.8347168,-4.98,10.192,15.25
TUNFSRHWOTWDNC-UHFFFAOYSA-N,-28069.5886,22.947,331.332,2.01021,-0.7661100000000001,0.20126,-0.44743999999999995,0.38516999999999996,-0.7661100000000001,228.37400000000002,578.755249,-5.33,13.18,16.677
TVMXDCGIABBOFY-UHFFFAOYSA-N,-20964.7535,16.0518,187.571,0.000286301,0.0,-0.07927000000000001,-0.03129,0.02765,0.0,114.2302,373.4918213,-5.24,15.627,16.883
TXCDCPKCNAJMEE-UHFFFAOYSA-N,-21308.6473,-18.4814,196.602,1.34743,-0.16665,-0.41244,-0.16665,0.07672999999999999,-0.16665,168.1946,354.05453489999996,-4.51267,11.715,14.434000000000001
TXVHTIQJNYSSKO-UHFFFAOYSA-N,-24503.2054,-11.6861,291.363,0.136572,0.0,-0.81857,-0.06085,0.06969,0.0,252.3148,442.34899900000005,-7.7999979999999995,11.182,13.672
TYHHDWAHJRRYCU-UHFFFAOYSA-N,-24510.5924,224.4118,206.551,10.0217,-1.76014,0.50047,-0.41844,0.52879,-1.23135,197.14700000000002,371.63241580000005,-2.0140000000000002,10.989,15.08
TYMLOMAKGOJONV-UHFFFAOYSA-N,-21519.6989,356.5304,153.556,9.34077,-0.8166399999999999,-0.12763,-0.40857,0.53403,-0.63718,138.1256,303.3133545,-2.37,11.142999999999999,14.402999999999999
TZFWDZFKRBELIQ-UHFFFAOYSA-N,-21854.872000000003,-252.8953,168.26,3.7027300000000003,-0.63175,0.49058999999999997,-0.44328,0.48588000000000003,-1.035,169.5671,319.0333252,-2.77605,11.705,14.802999999999999
TZIHFWKZFHZASV-UHFFFAOYSA-N,-16537.0716,19.0128,74.755,5.12385,-0.77854,0.62845,-0.42683000000000004,0.41657,-0.77854,60.0524,201.8628845,0.58,13.279000000000002,16.953
TZYQTWHRLVDYPL-UHFFFAOYSA-N,-19254.5536,-800.4292,108.671,6.05564,-0.38356,0.81917,-0.4633,0.36135,-1.24939,96.0884,243.86837769999997,0.59,10.847000000000001,15.963
UAYYWDWWESZIPA-UHFFFAOYSA-N,-29487.6675,191.2753,376.18199999999996,9.76865,-1.18641,0.85711,-0.47708999999999996,0.46936000000000005,-2.17523,331.3459,552.2521972999999,-5.6160000000000005,11.25,14.466
UBUCNCOMADRQHX-UHFFFAOYSA-N,-23723.8388,-138.9674,230.655,4.82076,-0.37075,-0.43756999999999996,-0.37075,0.23201,-0.30867,198.2238,407.45266719999995,-3.75,11.628,14.513
UCIUVGVKELKZSD-UHFFFAOYSA-N,-28855.6697,164.7946,314.442,1.12885,-1.9517099999999998,1.30651,-0.44401999999999997,0.43648000000000003,-2.36077,267.281,497.815033,0.43,11.709000000000001,15.21
UCMIRNVEIXFBKS-UHFFFAOYSA-N,-18720.1773,-61.1397,109.50200000000001,1.7658599999999998,-0.7639600000000001,0.48473,-0.44683,0.38738,-1.12372,89.0938,255.79048160000002,0.9994790000000001,13.142000000000001,15.875
UCNVFOCBFJOQAL-UHFFFAOYSA-N,-28505.0081,-148.083,325.654,0.18438,0.0,-0.29218,-0.11702,0.08432,-0.36536,318.0292,492.9644165,-6.899997999999999,11.494000000000002,14.987
UCTWMZQNUQWSLP-UHFFFAOYSA-N,-23992.0981,-2.2072,222.293,5.57983,-1.0172700000000001,0.28151,-0.37469,0.23356,-1.39196,183.2066,394.15875239999997,-0.9620000000000001,12.002,14.919
UDUNORRTIFRHKX-UHFFFAOYSA-N,-38639.6797,261.1316,560.229,2.11249,-1.89208,1.55474,-0.43799999999999994,0.37601999999999997,-3.06287,495.4016,822.428894,-1.5990799999999998,11.453,14.093
UEJJHQNACJXSKW-UHFFFAOYSA-N,-26141.3766,279.6185,270.039,5.96983,-1.58464,1.42182,-0.42158999999999996,0.44453000000000004,-2.28896,258.233,446.11047360000003,-2.68,11.014000000000001,15.475999999999999
UFNIBRDIUNVOMX-UHFFFAOYSA-N,-24279.6395,-54.0895,243.12599999999998,3.9288300000000005,0.0,-0.38649,-0.12176,0.08073,-0.23863,223.1012,406.2637024,-5.28,11.62,14.716
UFQCLRMJHOWNLX-UHFFFAOYSA-N,-31816.2746,214.7043,389.99800000000005,7.74265,-0.94068,1.0225899999999999,-0.4126,0.33676,-2.09151,402.2467,608.4851685,-3.222,11.235999999999999,14.120999999999999
UGQVTTBSGZLNIL-UHFFFAOYSA-N,-24964.2108,-82.6016,246.859,5.26504,-1.91893,-0.83472,-0.77777,1.94607,-0.17614000000000002,251.333,406.7077637,-2.254,10.415,14.931
UJOBWOGCFQCDNV-UHFFFAOYSA-N,-21321.9204,10.3571,200.977,1.7466599999999999,0.0,-0.51518,-0.23873000000000003,0.22854000000000002,-0.23873000000000003,167.2098,359.0768738,-4.97,11.918,13.845999999999998
ULBXWWGWDPVHAO-UHFFFAOYSA-N,-25784.1908,131.8643,254.076,3.16337,-0.81288,0.40151,-0.49346999999999996,0.50884,-1.23642,223.6585,447.9688721,-2.62,12.001,14.767999999999999
ULSIYEODSMZIPX-UHFFFAOYSA-N,-21055.1968,-27.4507,175.68400000000003,3.1257599999999996,-0.37967,-0.14123,-0.37967,0.20920999999999998,-0.73585,137.181,334.88833619999997,-0.48,12.302,15.049000000000001
UMGDCJDMYOKAJW-UHFFFAOYSA-N,-17184.0011,-323.5094,89.4465,8.65722,0.0,0.30124,-0.59003,0.30124,-1.20129,76.116,216.6707001,0.32,12.699000000000002,14.339
UMIPWJGWASORKV-UHFFFAOYSA-N,-21121.6122,14.0804,176.528,0.0506137,0.0,-0.27312,-0.19798,0.16645,0.0,110.1986,355.57751460000003,-3.66,14.065999999999999,16.28
UNAHYJYOSSSJHH-UHFFFAOYSA-N,-30549.9542,378.5349,366.56199999999995,4.13685,-2.96861,0.15988,-0.77232,1.92504,-1.0184600000000001,346.3574,545.2680054,-5.16,10.126,15.988
UNXHWFMMPAWVPI-UHFFFAOYSA-N,-20711.0598,57.1775,146.219,0.00406584,-1.5137200000000002,0.48366000000000003,-0.38716999999999996,0.21671999999999997,-1.5137200000000002,122.1206,292.48217769999997,0.7,15.005999999999998,16.49
UOAMTSKGCBMZTC-UHFFFAOYSA-N,-28914.1785,-11.8264,356.228,2.15256,-0.34517,-0.015319999999999999,-0.34517,0.24715,-0.8857,370.4895,507.09841919999997,-5.67,11.205,15.311
