number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_hidden_layers,params_n_estimators,params_regressor,state
2,0.8457257133587113,0.9353584228158405,78.26098059244126,63.958120531154236,2022-05-18 09:55:50.220781,2022-05-18 09:55:52.407245,0 days 00:00:02.186464,,304.0,ET,COMPLETE
3,0.8493455328241304,0.9481026104313323,75.56562819203269,63.40653728294178,2022-05-18 09:55:52.407461,2022-05-18 09:56:30.999139,0 days 00:00:38.591678,572.0,,ANN,COMPLETE
