number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_hidden_layers,params_n_estimators,params_regressor,state
0,0.8389010787690383,0.979549422491836,75.55555555555556,61.22222222222222,2022-05-18 09:58:34.967434,2022-05-18 09:58:45.449608,0 days 00:00:10.482174,257.0,,ANN,COMPLETE
2,0.8406647983666548,0.9752933411485979,75.22222222222223,60.55555555555556,2022-05-18 09:58:53.637538,2022-05-18 09:58:55.860140,0 days 00:00:02.222602,,304.0,ET,COMPLETE
3,0.834561235910021,0.9942281975397541,75.44444444444444,61.333333333333336,2022-05-18 09:58:55.860321,2022-05-18 09:59:12.332301,0 days 00:00:16.471980,572.0,,ANN,COMPLETE
